,English,French
0,brother,frère
1,because,car
2,to put,mettre
3,no,aucun
4,leash,laisse
5,city,ville
6,each,chaque
7,come,arrivé
8,should,devrait
9,long time,longtemps
10,hours,heures
11,while,pendant
12,meet again,revoir
13,any,aucune
14,square,place
15,understood,compris
16,knew,savais
17,were,étaient
18,Warning,attention
19,here is,voici
20,could,pourrais
21,case,affaire
22,give,donner
23,type,type
24,their,leurs
25,given,donné
26,train,train
27,body,corps
28,place,endroit
29,eyes,yeux
30,way,façon
31,listen,écoute
32,whose,dont
33,find,trouve
34,first,premier
35,lost,perdu
36,hand,main
37,first,première
38,side,côté
39,power,pouvoir
40,old,vieux
41,be,sois
42,here,tiens
43,morning,matin
44,so much,tellement
45,child,enfant
46,point,point
47,came,venu
48,after,suite
49,sorry,pardon
50,come,venez
51,in front of,devant
52,towards,vers
53,minutes,minutes
54,request,demandé
55,bedroom,chambre
56,placed,mis
57,beautiful,belle
58,law,droit
59,would like to,aimerais
60,today,aujourd'hui
61,husband,mari
62,cause,cause
63,finally,enfin
64,hope,espère
65,water,eau
66,Wait,attendez
67,left,parti
68,new,nouvelle
69,job,boulot
70,Stop,arrêter
71,would say,dirait
72,Earth,terre
73,account,compte
74,given,donne
75,far,loin
76,end,fin
77,believe,croire
78,sweetheart,chérie
79,large,gros
80,rather,plutôt
81,will have,aura
82,girls,filles
83,to play,jouer
84,office,bureau
85,thought,pensais
86,history,histoire
87,only,seulement
88,police,police
89,thought,pensais
90,help,aide
91,request,demande
92,kind,genre
93,month,mois
94,brother,frère
95,let,laisser
96,because,car
97,to put,mettre
98,no,aucun
99,leash,laisse
100,them,eux
101,city,ville
102,each,chaque
103,speak,parlé
104,come,arrivé
105,should,devrait
106,baby,bébé
107,long time,longtemps
108,hours,heures
109,will,vont
110,while,pendant
111,meet again,revoir
112,any,aucune
113,square,place
114,speak,parle
115,understood,compris
116,knew,savais
117,were,étaient
118,Warning,attention
119,here is,voici
120,could,pourrais
121,case,affaire
122,give,donner
123,type,type
124,their,leurs
125,given,donné
126,train,train
127,body,corps
128,place,endroit
129,eyes,yeux
130,way,façon
131,listen,écoute
132,whose,dont
133,find,trouve
134,first,premier
135,lost,perdu
136,hand,main
137,first,première
138,side,côté
139,power,pouvoir
140,old,vieux
141,be,sois
142,here,tiens
143,morning,matin
144,so much,tellement
145,child,enfant
146,point,point
147,came,venu
148,after,suite
149,sorry,pardon
150,come,venez
151,in front of,devant
152,towards,vers
153,minutes,minutes
154,request,demandé
155,bedroom,chambre
156,placed,mis
157,beautiful,belle
158,law,droit
159,would like to,aimerais
160,today,aujourd'hui
161,husband,mari
162,cause,cause
163,finally,enfin
164,hope,espère
165,water,eau
166,Wait,attendez
167,left,parti
168,new,nouvelle
169,job,boulot
170,Stop,arrêter
171,would say,dirait
172,Earth,terre
173,account,compte
174,given,donne
175,far,loin
176,end,fin
177,believe,croire
178,sweetheart,chérie
179,large,gros
180,rather,plutôt
181,will have,aura
182,girls,filles
183,to play,jouer
184,office,bureau
185,kind,genre
186,history,histoire
187,only,seulement
188,police,police
189,thought,pensais
190,request,demande
191,kind,genre
192,month,mois
193,brother,frère
194,let,laisser
195,because,car
196,to put,mettre
197,no,aucun
198,leash,laisse
199,them,eux
200,city,ville
201,each,chaque
202,speak,parlé
203,come,arrivé
204,should,devrait
205,baby,bébé
206,long time,longtemps
207,hours,heures
208,will,vont
209,while,pendant
210,meet again,revoir
211,any,aucune
212,square,place
213,speak,parle
214,understood,compris
215,knew,savais
216,were,étaient
217,Warning,attention
218,here is,voici
219,could,pourrais
220,case,affaire
221,give,donner
222,type,type
223,their,leurs
224,given,donné
225,train,train
226,body,corps
227,place,endroit
228,eyes,yeux
229,way,façon
230,listen,écoute
231,whose,dont
232,find,trouve
233,first,premier
234,lost,perdu
235,hand,main
236,first,première
237,side,côté
238,power,pouvoir
239,old,vieux
240,be,sois
241,here,tiens
242,morning,matin
243,so much,tellement
244,child,enfant
245,point,point
246,came,venu
247,after,suite
248,sorry,pardon
249,come,venez
250,in front of,devant
251,towards,vers
252,minutes,minutes
253,request,demandé
254,bedroom,chambre
255,placed,mis
256,beautiful,belle
257,law,droit
258,would like to,aimerais
259,today,aujourd'hui
260,husband,mari
261,cause,cause
262,finally,enfin
263,hope,espère
264,water,eau
265,Wait,attendez
266,left,parti
267,new,nouvelle
268,job,boulot
269,Stop,arrêter
270,would say,dirait
271,Earth,terre
272,account,compte
273,given,donne
274,far,loin
275,end,fin
276,believe,croire
277,sweetheart,chérie
278,large,gros
279,rather,plutôt
280,will have,aura
281,girls,filles
282,to play,jouer
283,office,bureau
284,month,mois
285,history,histoire
286,only,seulement
287,police,police
288,thought,pensais
289,request,demande
290,kind,genre
291,month,mois
292,brother,frère
293,let,laisser
294,because,car
295,to put,mettre
296,no,aucun
297,leash,laisse
298,them,eux
299,city,ville
300,each,chaque
301,speak,parlé
302,come,arrivé
303,should,devrait
304,baby,bébé
305,long time,longtemps
306,hours,heures
307,will,vont
308,while,pendant
309,meet again,revoir
310,any,aucune
311,square,place
312,speak,parle
313,understood,compris
314,knew,savais
315,were,étaient
316,Warning,attention
317,here is,voici
318,could,pourrais
319,case,affaire
320,give,donner
321,type,type
322,their,leurs
323,given,donné
324,train,train
325,body,corps
326,place,endroit
327,eyes,yeux
328,way,façon
329,listen,écoute
330,whose,dont
331,find,trouve
332,first,premier
333,lost,perdu
334,hand,main
335,first,première
336,side,côté
337,power,pouvoir
338,old,vieux
339,be,sois
340,here,tiens
341,morning,matin
342,so much,tellement
343,child,enfant
344,point,point
345,came,venu
346,after,suite
347,sorry,pardon
348,come,venez
349,in front of,devant
350,towards,vers
351,minutes,minutes
352,request,demandé
353,bedroom,chambre
354,placed,mis
355,beautiful,belle
356,law,droit
357,would like to,aimerais
358,today,aujourd'hui
359,husband,mari
360,cause,cause
361,finally,enfin
362,hope,espère
363,water,eau
364,Wait,attendez
365,left,parti
366,new,nouvelle
367,job,boulot
368,Stop,arrêter
369,would say,dirait
370,Earth,terre
371,account,compte
372,given,donne
373,far,loin
374,end,fin
375,believe,croire
376,sweetheart,chérie
377,large,gros
378,rather,plutôt
379,will have,aura
380,girls,filles
381,to play,jouer
382,office,bureau
383,because,car
384,history,histoire
385,only,seulement
386,police,police
387,thought,pensais
388,request,demande
389,kind,genre
390,month,mois
391,let,laisser
392,because,car
393,to put,mettre
394,no,aucun
395,leash,laisse
396,them,eux
397,city,ville
398,each,chaque
399,speak,parlé
400,come,arrivé
401,should,devrait
402,baby,bébé
403,long time,longtemps
404,hours,heures
405,will,vont
406,while,pendant
407,meet again,revoir
408,any,aucune
409,square,place
410,speak,parle
411,understood,compris
412,knew,savais
413,were,étaient
414,Warning,attention
415,here is,voici
416,could,pourrais
417,case,affaire
418,give,donner
419,type,type
420,their,leurs
421,given,donné
422,train,train
423,body,corps
424,place,endroit
425,eyes,yeux
426,way,façon
427,listen,écoute
428,whose,dont
429,find,trouve
430,first,premier
431,lost,perdu
432,hand,main
433,first,première
434,side,côté
435,power,pouvoir
436,old,vieux
437,be,sois
438,here,tiens
439,morning,matin
440,so much,tellement
441,child,enfant
442,point,point
443,came,venu
444,after,suite
445,sorry,pardon
446,come,venez
447,in front of,devant
448,towards,vers
449,minutes,minutes
450,request,demandé
451,bedroom,chambre
452,placed,mis
453,beautiful,belle
454,law,droit
455,would like to,aimerais
456,today,aujourd'hui
457,husband,mari
458,cause,cause
459,finally,enfin
460,hope,espère
461,water,eau
462,Wait,attendez
463,left,parti
464,new,nouvelle
465,job,boulot
466,Stop,arrêter
467,would say,dirait
468,Earth,terre
469,account,compte
470,given,donne
471,far,loin
472,end,fin
473,believe,croire
474,sweetheart,chérie
475,large,gros
476,rather,plutôt
477,will have,aura
478,girls,filles
479,to play,jouer
480,office,bureau
481,leash,laisse
482,history,histoire
483,only,seulement
484,police,police
485,thought,pensais
486,request,demande
487,kind,genre
488,month,mois
489,let,laisser
490,because,car
491,no,aucun
492,leash,laisse
493,them,eux
494,city,ville
495,each,chaque
496,speak,parlé
497,come,arrivé
498,should,devrait
499,baby,bébé
500,long time,longtemps
501,hours,heures
502,will,vont
503,while,pendant
504,meet again,revoir
505,any,aucune
506,square,place
507,speak,parle
508,understood,compris
509,knew,savais
510,were,étaient
511,Warning,attention
512,here is,voici
513,could,pourrais
514,case,affaire
515,give,donner
516,type,type
517,their,leurs
518,given,donné
519,train,train
520,body,corps
521,place,endroit
522,eyes,yeux
523,way,façon
524,listen,écoute
525,whose,dont
526,find,trouve
527,first,premier
528,lost,perdu
529,hand,main
530,first,première
531,side,côté
532,power,pouvoir
533,old,vieux
534,be,sois
535,here,tiens
536,morning,matin
537,so much,tellement
538,child,enfant
539,point,point
540,came,venu
541,after,suite
542,sorry,pardon
543,come,venez
544,in front of,devant
545,towards,vers
546,minutes,minutes
547,request,demandé
548,bedroom,chambre
549,placed,mis
550,beautiful,belle
551,law,droit
552,would like to,aimerais
553,today,aujourd'hui
554,husband,mari
555,cause,cause
556,finally,enfin
557,hope,espère
558,water,eau
559,Wait,attendez
560,left,parti
561,new,nouvelle
562,job,boulot
563,Stop,arrêter
564,would say,dirait
565,Earth,terre
566,account,compte
567,given,donne
568,far,loin
569,end,fin
570,believe,croire
571,sweetheart,chérie
572,large,gros
573,rather,plutôt
574,will have,aura
575,girls,filles
576,to play,jouer
577,office,bureau
578,thought,pensais
579,help,aide
580,request,demande
581,brother,frère
